Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign_Up,Chrome 90.0.4430.212,,,2021-05-28 10:53:26,2021-05-28 10:56:10,2m - 43.752s,FAILED
,,,,,,,
Test Cases/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 10:53:27,2021-05-28 10:53:41,14.041s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 10:53:28,2021-05-28 10:53:31,2.730s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 10:53:31,2021-05-28 10:53:34,3.321s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 10:53:34,2021-05-28 10:53:40,6.405s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 10:53:40,2021-05-28 10:53:41,0.679s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 10:53:41,2021-05-28 10:53:41,0.369s,FAILED
,,,,,,,
Test Cases/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 10:53:41,2021-05-28 10:53:59,17.933s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 10:53:42,2021-05-28 10:53:44,2.045s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 10:53:44,2021-05-28 10:53:49,5.294s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 10:53:49,2021-05-28 10:53:58,9.625s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 10:53:58,2021-05-28 10:53:59,0.687s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 10:53:59,2021-05-28 10:53:59,0.265s,FAILED
,,,,,,,
Test Cases/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 10:53:59,2021-05-28 10:54:14,14.835s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 10:53:59,2021-05-28 10:54:02,2.058s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 10:54:02,2021-05-28 10:54:06,4.096s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 10:54:06,2021-05-28 10:54:13,7.700s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 10:54:13,2021-05-28 10:54:14,0.693s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 10:54:14,2021-05-28 10:54:14,0.279s,FAILED
,,,,,,,
Test Cases/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 10:54:14,2021-05-28 10:54:26,12.051s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 10:54:14,2021-05-28 10:54:16,1.979s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 10:54:16,2021-05-28 10:54:20,3.157s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 10:54:20,2021-05-28 10:54:25,5.926s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 10:54:25,2021-05-28 10:54:26,0.726s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 10:54:26,2021-05-28 10:54:26,0.252s,FAILED
,,,,,,,
Test Cases/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 10:54:26,2021-05-28 10:54:39,12.230s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 10:54:26,2021-05-28 10:54:28,1.920s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 10:54:28,2021-05-28 10:54:32,4.083s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 10:54:32,2021-05-28 10:54:38,5.273s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 10:54:38,2021-05-28 10:54:38,0.683s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 10:54:38,2021-05-28 10:54:39,0.259s,FAILED
,,,,,,,
Test Cases/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 10:54:39,2021-05-28 10:54:51,12.633s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 10:54:39,2021-05-28 10:54:41,2.000s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 10:54:41,2021-05-28 10:54:44,3.704s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 10:54:44,2021-05-28 10:54:50,5.324s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 10:54:50,2021-05-28 10:54:50,0.682s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 10:54:50,2021-05-28 10:54:51,0.424s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 10:54:51,2021-05-28 10:54:51,0.429s,PASSED
,,,,,,,
Test Cases/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 10:54:51,2021-05-28 10:55:04,13.121s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 10:54:51,2021-05-28 10:54:54,2.423s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 10:54:54,2021-05-28 10:54:57,3.508s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 10:54:57,2021-05-28 10:55:03,5.544s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 10:55:03,2021-05-28 10:55:04,0.703s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 10:55:04,2021-05-28 10:55:04,0.463s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 10:55:04,2021-05-28 10:55:04,0.421s,PASSED
,,,,,,,
Test Cases/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 10:55:04,2021-05-28 10:55:18,13.488s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 10:55:05,2021-05-28 10:55:06,1.979s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 10:55:06,2021-05-28 10:55:11,4.087s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 10:55:11,2021-05-28 10:55:16,5.806s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 10:55:16,2021-05-28 10:55:17,0.701s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 10:55:17,2021-05-28 10:55:18,0.457s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 10:55:18,2021-05-28 10:55:18,0.405s,PASSED
,,,,,,,
Test Cases/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 10:55:18,2021-05-28 10:55:31,13.116s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 10:55:18,2021-05-28 10:55:20,2.014s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 10:55:20,2021-05-28 10:55:24,4.053s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 10:55:24,2021-05-28 10:55:30,5.480s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 10:55:30,2021-05-28 10:55:30,0.674s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 10:55:30,2021-05-28 10:55:31,0.418s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/Page_Mattermost/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 10:55:31,2021-05-28 10:55:31,0.426s,PASSED
,,,,,,,
Test Cases/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 10:55:31,2021-05-28 10:55:43,12.349s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 10:55:31,2021-05-28 10:55:33,1.921s,PASSED
