Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Edit_FullName,Chrome 90.0.4430.212,,,2021-05-28 21:40:18,2021-05-28 21:45:32,5m - 13.479s,FAILED
,,,,,,,
Test Cases/Edit FullName,Chrome 90.0.4430.212,,,2021-05-28 21:40:19,2021-05-28 21:42:01,1m - 41.604s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 21:40:20,2021-05-28 21:40:22,2.463s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signin"")",Chrome 90.0.4430.212,,,2021-05-28 21:40:22,2021-05-28 21:41:02,39.394s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _dcc84b""), username)",Chrome 90.0.4430.212,,,2021-05-28 21:41:02,2021-05-28 21:41:44,42.088s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _a3edc6""), password)",Chrome 90.0.4430.212,,,2021-05-28 21:41:44,2021-05-28 21:41:44,0.573s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 21:41:44,2021-05-28 21:41:45,0.550s,PASSED
"if (findTestObject(""Edit Fullname/Page_Mattermost/span_Back to Mattermost""))",Chrome 90.0.4430.212,,,2021-05-28 21:41:45,2021-05-28 21:41:53,8.172s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - mattermost Mattermost/span""))",Chrome 90.0.4430.212,,,2021-05-28 21:41:53,2021-05-28 21:41:56,3.067s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/button_Account Settings""))",Chrome 90.0.4430.212,,,2021-05-28 21:41:56,2021-05-28 21:41:57,0.810s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span_Edit""))",Chrome 90.0.4430.212,,,2021-05-28 21:41:57,2021-05-28 21:41:58,0.684s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/input_First Name_firstName""), firstName)",Chrome 90.0.4430.212,,,2021-05-28 21:41:58,2021-05-28 21:41:58,0.922s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/input_Last Name_lastName""), lastName)",Chrome 90.0.4430.212,,,2021-05-28 21:41:58,2021-05-28 21:41:59,0.767s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/button_Save""))",Chrome 90.0.4430.212,,,2021-05-28 21:41:59,2021-05-28 21:42:00,0.392s,PASSED
"verifyElementPresent(findTestObject(""Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span_General Settings""), 0)",Chrome 90.0.4430.212,,,2021-05-28 21:42:00,2021-05-28 21:42:00,0.482s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 21:42:00,2021-05-28 21:42:01,0.744s,PASSED
,,,,,,,
Test Cases/Edit FullName,Chrome 90.0.4430.212,,,2021-05-28 21:42:01,2021-05-28 21:42:44,42.906s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 21:42:01,2021-05-28 21:42:02,1.257s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signin"")",Chrome 90.0.4430.212,,,2021-05-28 21:42:02,2021-05-28 21:42:07,5.064s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _dcc84b""), username)",Chrome 90.0.4430.212,,,2021-05-28 21:42:07,2021-05-28 21:42:44,36.567s,FAILED
,,,,,,,
Test Cases/Edit FullName,Chrome 90.0.4430.212,,,2021-05-28 21:42:44,2021-05-28 21:43:26,41.699s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 21:42:44,2021-05-28 21:42:46,1.930s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signin"")",Chrome 90.0.4430.212,,,2021-05-28 21:42:46,2021-05-28 21:43:03,17.336s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _dcc84b""), username)",Chrome 90.0.4430.212,,,2021-05-28 21:43:03,2021-05-28 21:43:15,11.483s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _a3edc6""), password)",Chrome 90.0.4430.212,,,2021-05-28 21:43:15,2021-05-28 21:43:15,0.547s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-28 21:43:15,2021-05-28 21:43:16,0.528s,PASSED
"if (findTestObject(""Edit Fullname/Page_Mattermost/span_Back to Mattermost""))",Chrome 90.0.4430.212,,,2021-05-28 21:43:16,2021-05-28 21:43:19,3.085s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - mattermost Mattermost/span""))",Chrome 90.0.4430.212,,,2021-05-28 21:43:19,2021-05-28 21:43:20,0.923s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/button_Account Settings""))",Chrome 90.0.4430.212,,,2021-05-28 21:43:20,2021-05-28 21:43:21,1.290s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span_Edit""))",Chrome 90.0.4430.212,,,2021-05-28 21:43:21,2021-05-28 21:43:22,0.647s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/input_First Name_firstName""), firstName)",Chrome 90.0.4430.212,,,2021-05-28 21:43:22,2021-05-28 21:43:23,0.871s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/input_Last Name_lastName""), lastName)",Chrome 90.0.4430.212,,,2021-05-28 21:43:23,2021-05-28 21:43:24,1.525s,PASSED
"click(findTestObject(""Object Repository/Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/button_Save""))",Chrome 90.0.4430.212,,,2021-05-28 21:43:24,2021-05-28 21:43:25,0.411s,PASSED
"verifyElementPresent(findTestObject(""Edit Fullname/Page_Town Square - Fit.hcmus Mattermost/span_General Settings""), 0)",Chrome 90.0.4430.212,,,2021-05-28 21:43:25,2021-05-28 21:43:25,0.453s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 21:43:25,2021-05-28 21:43:26,0.656s,PASSED
,,,,,,,
Test Cases/Edit FullName,Chrome 90.0.4430.212,,,2021-05-28 21:43:26,2021-05-28 21:44:08,42.351s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 21:43:26,2021-05-28 21:43:27,1.264s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signin"")",Chrome 90.0.4430.212,,,2021-05-28 21:43:27,2021-05-28 21:43:31,3.661s,PASSED
"setText(findTestObject(""Object Repository/Edit Fullname/Page_Mattermost/input_All team communication in one place, _dcc84b""), username)",Chrome 90.0.4430.212,,,2021-05-28 21:43:31,2021-05-28 21:44:08,37.415s,FAILED
,,,,,,,
Test Cases/Edit FullName,Chrome 90.0.4430.212,,,2021-05-28 21:44:08,2021-05-28 21:45:32,1m - 23.402s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 21:44:08,2021-05-28 21:44:10,1.852s,PASSED
