Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign_Up_Account,Chrome 90.0.4430.212,,,2021-05-28 21:57:23,2021-05-28 22:05:08,7m - 44.831s,FAILED
,,,,,,,
Test Cases/Data Type/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 21:57:24,2021-05-28 21:57:43,18.867s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 21:57:25,2021-05-28 21:57:28,3.040s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 21:57:28,2021-05-28 21:57:34,6.253s,PASSED
"setText(findTestObject(""Sign Up/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 21:57:34,2021-05-28 21:57:41,6.554s,PASSED
"setText(findTestObject(""Sign Up/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 21:57:41,2021-05-28 21:57:41,0.707s,PASSED
"setEncryptedText(findTestObject(""Sign Up/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 21:57:41,2021-05-28 21:57:42,0.617s,PASSED
"click(findTestObject(""Sign Up/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 21:57:42,2021-05-28 21:57:42,0.438s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 21:57:42,2021-05-28 21:57:43,0.663s,PASSED
,,,,,,,
Test Cases/Data Type/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 21:57:43,2021-05-28 21:58:29,46.209s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 21:57:43,2021-05-28 21:57:44,1.279s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 21:57:44,2021-05-28 21:57:50,5.462s,PASSED
"setText(findTestObject(""Sign Up/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 21:57:50,2021-05-28 21:58:27,37.116s,PASSED
"setText(findTestObject(""Sign Up/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 21:58:27,2021-05-28 21:58:28,0.816s,PASSED
"setEncryptedText(findTestObject(""Sign Up/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 21:58:28,2021-05-28 21:58:28,0.477s,PASSED
"click(findTestObject(""Sign Up/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 21:58:28,2021-05-28 21:58:29,0.410s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-28 21:58:29,2021-05-28 21:58:29,0.640s,PASSED
,,,,,,,
Test Cases/Data Type/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 21:58:29,2021-05-28 22:01:20,2m - 50.955s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 21:58:29,2021-05-28 21:58:31,1.216s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 21:58:31,2021-05-28 22:00:45,2m - 14.597s,PASSED
"setText(findTestObject(""Sign Up/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 22:00:45,2021-05-28 22:01:20,35.134s,FAILED
,,,,,,,
Test Cases/Data Type/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 22:01:20,2021-05-28 22:02:31,1m - 10.643s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 22:01:20,2021-05-28 22:01:22,1.905s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 22:01:22,2021-05-28 22:01:56,33.368s,PASSED
"setText(findTestObject(""Sign Up/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 22:01:56,2021-05-28 22:02:31,35.357s,FAILED
,,,,,,,
Test Cases/Data Type/Sign-Up-Account,Chrome 90.0.4430.212,,,2021-05-28 22:02:31,2021-05-28 22:03:17,46.052s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-28 22:02:31,2021-05-28 22:02:33,1.897s,PASSED
"navigateToUrl(""https://mattermost-autotest.herokuapp.com/signup_email?id=bjz71s5p83g3ix13eth98bo7aw&fbclid=IwAR3R54HjPAKlm9IYu5u0ofSi_RT75MYITTGlO-0rb3RAByX4NuwHUiV51W8"")",Chrome 90.0.4430.212,,,2021-05-28 22:02:33,2021-05-28 22:02:45,11.741s,PASSED
"setText(findTestObject(""Sign Up/input_concat(What, , s your email address)_email""), EmailAddress)",Chrome 90.0.4430.212,,,2021-05-28 22:02:45,2021-05-28 22:03:15,30.170s,PASSED
"setText(findTestObject(""Sign Up/input_Choose your username_name""), Username)",Chrome 90.0.4430.212,,,2021-05-28 22:03:15,2021-05-28 22:03:16,0.749s,PASSED
"setEncryptedText(findTestObject(""Sign Up/input_Choose your password_password""), Password)",Chrome 90.0.4430.212,,,2021-05-28 22:03:16,2021-05-28 22:03:16,0.437s,PASSED
"click(findTestObject(""Sign Up/span_Create Account""))",Chrome 90.0.4430.212,,,2021-05-28 22:03:16,2021-05-28 22:03:16,0.384s,PASSED
